Conectar con los funcionarios elegidos y los reguladores		
reguladores responsables de la calidad del aire y de la protección de la salud pública del Área de la Bahía.		
		
Text	Link	Bullet Points
Participación comunitaria del Distrito para el Control de la Calidad del Aire en el Área de la Bahía (BAAQMD)	http://www.baaqmd.gov/in-your-community	Obtenga más información acerca de las actividades del Distrito del Aire en su comunidad, vea los mapas interactivos de instalaciones permitidas y la calidad de aire actual, y explore los programas locales de evaluación de riesgos a la salud de difusión en la comunidad.
Quejas sobre la contaminación atmosférica del BAAQMD 	http://www.baaqmd.gov/online-services/air-pollution-complaints	
Regla de seguimiento de emisiones de petróleo de BAAQMD 12-15 (requiere monitoreo de cercas)	https://www.baaqmd.gov/rules-and-compliance/rules/regulation-12-rule-15--petroleum-refining-emissions-tracking	
Página de BAAQMD sobre el programa comunitario de protección del aire (AB 617)	http://www.baaqmd.gov/plans-and-climate/community-health-protection-program	
página de la Junta de Recursos Atmosféricos de California (California Air Resources Board, CARB)  sobre AB 617	https://ww2.arb.ca.gov/our-work/programs/community-air-protection-program-ab617	
CARB Inventario de Emisiones de la página, incluyendo la herramienta de mapeo de la contaminación	https://www.arb.ca.gov/ei/ei.htm	
Quejas sobre la contaminación atmosférica de la CARB 	https://www.arb.ca.gov/enf/complaints/complaints.htm	
Ayuntamiento de Benicia	https://www.ci.benicia.ca.us/citycouncil	
Departamento de Bomberos de Benicia (control de materiales peligrosos y aire)	https://www.ci.benicia.ca.us/publicinfobank	
Junta de Supervisores del Condado de Contra Costa	https://www.contracosta.ca.gov/7283/Board-of-Supervisors	
Programas de materiales peligrosos del condado de Contra Costa	https://cchealth.org/hazmat/	
Sensibilización comunitaria y respuesta ante emergencias del condado de Contra Costa	https://www.cococaer.org/	
Ayuntamiento de Richmond	https://www.ci.richmond.ca.us/29/City-Council	